,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,calory_to_balance,needed_calory
2706,16,52.35117314903578,1.59620627244585,F,20.546998639340877,1353.726,1.2,1624.4712000000002,1715.6289178170116,-91.15771781701142
2707,16,48.99601959817602,1.6120369540269996,F,18.85431736893727,1324.208,1.5,1986.312,2286.1061239487085,-299.7941239487086
2708,15,53.01355391933766,1.6236448486502728,M,20.10966525700984,1502.108,1.9,2854.0052,3079.708789205814,-225.70358920581384
2709,14,49.511434968566526,1.6112137624894582,M,19.072129538620143,1454.714,1.9,2763.9566,3144.790837255364,-380.83423725536386
2710,16,52.485635572750994,1.5923370095940317,M,20.700006516886454,1472.422,1.5,2208.633,2315.3295174521945,-106.69651745219471
2711,15,48.59629960646257,1.599002444455552,M,19.006622347445663,1429.271,1.7,2429.7607,2774.0755946090503,-344.3148946090505
2712,16,48.71686969303302,1.600253825272789,F,19.023990783003576,1319.525,1.2,1583.43,1806.1631437867554,-222.73314378675536
2713,15,54.24469049160924,1.596738714207125,M,21.27597763285044,1505.522,1.7,2559.3874,2610.3950445147757,-51.00764451477562
2714,16,48.33682603421665,1.6018953213592309,M,18.83691871928741,1420.362,1.7,2414.6154,2781.6202299768775,-367.0048299768773
2715,17,52.77759739443188,1.6196969066445224,F,20.117875229328828,1357.113,1.5,2035.6695,2195.760121108661,-160.09062110866125
2716,14,51.88000146901862,1.60594833594957,F,20.1157782873477,1360.259,1.9,2584.4921,2788.0342370483895,-203.54213704838958
2717,16,52.0339242821197,1.59932760733598,F,20.342846055596425,1351.211,1.5,2026.8165,2162.0336667641614,-135.21716676416145
2718,16,51.91045261501541,1.622228788851302,F,19.72561747536877,1353.919,1.5,2030.8785000000005,2234.1538106490184,-203.2753106490179
2719,16,52.09177082413439,1.5968305090656063,F,20.429205539309446,1351.342,1.9,2567.5498,2727.263698668691,-159.7138986686914
2720,16,49.94651049691804,1.6188044583553487,M,19.059713497045884,1450.869,1.5,2176.3035,2477.7804743665033,-301.4769743665033
2721,17,48.09284436951921,1.618104347525958,F,18.368234445926923,1311.869,1.2,1574.2427999999998,1859.7905454966067,-285.5477454966069
2722,16,47.98104034694637,1.5892976380912582,M,18.99586980647329,1409.189,1.7,2395.6213,2736.646583684464,-341.0252836844643
2723,15,48.92900625422152,1.62018333726001,F,18.639663706108667,1329.65,1.2,1595.5800000000002,1857.54885634835,-261.96885634834985
2724,15,51.93090591008112,1.6126377576511226,M,19.96881303499202,1481.772,1.5,2222.658,2415.350302267942,-192.69230226794207
2725,14,53.9076716247561,1.623060978589147,M,20.463546419291266,1520.866,1.7,2585.4722,2741.692255605768,-156.2200556057678
2726,15,51.80836870327995,1.6206731374647567,F,19.724638398176783,1357.375,1.2,1628.85,1791.9742956234452,-163.12429562344528
2727,15,50.75421546842624,1.597860416687773,M,19.878995829216496,1458.263,1.9,2770.6997,3024.5080791070177,-253.80837910701757
2728,15,50.22876544819885,1.6122550083425005,M,19.32346631950408,1458.262,1.5,2187.393,2456.4137362917077,-269.02073629170764
2729,14,50.1923555691991,1.5980729567359166,F,19.653702303163925,1342.719,1.2,1611.2628,1779.023728998444,-167.76092899844411
2730,16,52.81814958012576,1.619050131145913,M,20.14942187131017,1490.334,1.9,2831.6346,3049.5401412727765,-217.90554127277665
2731,16,48.584522419021695,1.592996079834753,M,19.14557984191324,1419.306,1.3,1845.0978,2091.272376736692,-246.17457673669196
2732,15,51.13621030170401,1.587986678064672,M,20.27845343894228,1458.559,1.2,1750.2708,1872.9671113410648,-122.69631134106476
2733,16,48.63275075235329,1.6050578497267092,F,18.877629354638845,1319.534,1.5,1979.301,2275.22380554874,-295.92280554874014
2734,16,48.06947166510631,1.5907634656508465,F,18.995823795449688,1311.697,1.5,1967.5455,2247.638102445836,-280.09260244583606
2735,16,51.47702323678169,1.5913804595966483,F,20.326630042308103,1344.514,1.2,1613.4167999999995,1722.4274012528072,-109.01060125280765
2736,16,51.03206485615913,1.6150726735746974,F,19.56406075794336,1344.27,1.5,2016.405,2236.5494076803193,-220.14440768031932
2737,17,51.3557275023742,1.6102851168506522,F,19.80538676631681,1341.863,1.5,2012.7945,2205.341464186043,-192.54696418604317
2738,17,51.8402084890316,1.613612401243035,F,19.90986400682589,1347.08,1.3,1751.204,1908.6582804870843,-157.45428048708436
2739,17,52.53666338578783,1.624276356834746,F,19.913272727124053,1355.579,1.5,2033.3685,2215.8133951481595,-182.4448951481595
2740,16,52.83617656601185,1.6008858699244266,M,20.61629595551771,1481.499,1.2,1777.7988,1871.2495223796486,-93.4507223796486
2741,16,48.10090392155176,1.6233268653905588,M,18.25329554188921,1427.846,1.7,2427.3382,2885.6837834637035,-458.3455834637034
2742,15,51.25935637044124,1.5928639332067784,M,20.202996621394824,1462.685,1.9,2779.1015,2985.0276016051926,-205.92610160519234
2743,15,54.295915150493165,1.625139288784041,M,20.558242185402364,1520.424,1.2,1824.5088,1925.8378514536948,-101.32905145369477
2744,16,53.24770661403512,1.605067743827135,F,20.66874814532308,1363.839,1.9,2591.2941,2720.584796652233,-129.29069665223278
2745,16,53.74256305747469,1.5927778375124155,F,21.18399993546954,1366.501,1.2,1639.8012,1679.74349265458,-39.94229265457989
2746,17,54.28171314639722,1.588898304792722,F,21.50113283488076,1366.317,1.9,2596.0023,2620.013110128409,-24.010810128409048
